settlement_id,payment_id,order_id,method,settled_at,gross_amount,fee,tax,settlement_utr
setl_D7Y2RMkyI2ED,pay_gaNW7Mzsqsz1Mt,order_QxvbsKzx8DaKAd,card,2026-08-10,1099.0,21.98,3.96,0372056832nmvapk
setl_ZlcLOI4CAKvp,pay_U6TNFfhabXKHMY,order_yGL8ywfAUtIdFJ,upi,2026-08-04,3400.0,17.0,3.06,7600282207acuznt
setl_14XDvSZeWy4H,pay_GBVuAfhSRrhTdH,order_oUXo7tNAD1Dc8r,upi,2026-08-18,14999.0,75.0,13.5,2359534940vjfsiy
setl_aNfhs0gCa05R,pay_FRunzqw7wZyVGO,order_huG8GP38g4o5MN,upi,2026-08-16,3999.0,20.0,3.6,1518844729jawllo
setl_falbpGp8cd2t,pay_aOna8atkymWC9f,order_GECSHSXg5A9Tz2,upi,2026-08-17,399.0,2.0,0.36,6715529301enobqw
setl_F6I9btoGx4If,pay_DRVAj5ujTGcEad,order_80lir9ISwiDklS,card,2026-08-09,349.0,6.98,1.26,1594502831nvngfh
setl_Hp1wR0D6Lwfe,pay_XfZFXtqWQokuBG,order_piguFg31UeyqNt,card,2026-08-05,7999.0,159.98,28.8,8557652373wlyzln
setl_rSyzsek3j57a,pay_lG1rJviQv0JbZk,order_UzWhGdUC7WwyCI,netbanking,2026-08-17,499.0,9.98,1.8,5797817688pqisss
setl_NdnXuDvcuHcE,pay_0FDGZvStwELfbh,order_H57mAOrc0miaeK,upi,2026-08-16,399.0,2.0,0.36,6992938327cpikyd
setl_i0mSMtltWBsB,pay_0BJBmfzy2x3nMI,order_hpBoPnrnD9Rahc,netbanking,2026-08-19,14999.0,299.98,54.0,9974535813xifcof
setl_hl4KrV7FfxQb,pay_59QiOVXNxjNldF,order_nnkeiUBTzGA0Lk,wallet,2026-08-16,699.0,12.58,2.26,4256579837dpwmgj
setl_bbrIEAq9ui8O,pay_Lf1lJcP390G0qv,order_iwAyypXAQoXilI,upi,2026-08-19,299.0,1.5,0.27,8500370382xmwlzh
setl_I0YH0H8g0rsc,pay_fLceH7CKgyZPZK,order_jJowDyMOLd7SQJ,upi,2026-08-11,1299.0,6.5,1.17,7978025201mcfria
setl_zapmdqWZkHr6,pay_xfqk76cnT1OZTJ,order_wM3Hk9HhKxZnLe,upi,2026-08-07,3999.0,20.0,3.6,1780578037bjcfuc
setl_HIH7od7WkjzT,pay_vqNZcHLHkopGZr,order_jzx4ef0RRY4Tyl,upi,2026-08-16,1799.0,9.0,1.62,3059061922zolkhk
setl_iFsXz3u3ucem,pay_38VxhdUTZdBm44,order_H9wzdDcbkinIzW,upi,2026-08-15,12650.0,63.25,11.38,7171124335cnkrlb
setl_uhD6Id0gooVO,pay_jv3lyLx4VBU8mP,order_Y4RZMOSxcyd4Ph,upi,2026-08-29,3999.0,20.0,3.6,7827608219mudfdg
setl_RDB4eCFdCEwV,pay_gdAlBOeqTIHpBg,order_3FvMlhfwpjCD82,upi,2026-08-19,499.0,2.5,0.45,5202994461whlycn
setl_wiymVOa2MPE8,pay_BwZX5X4IkUHblu,order_gfjUyvJqtcVLQY,upi,2026-08-09,799.0,4.0,0.72,8220180515jgrett
setl_IOrovjJXhrsK,pay_DOzzbJTvRAvgRX,order_1ZLynjCVKQViBr,upi,2026-08-06,1299.0,6.5,1.17,7883655062airwie
setl_1JVbWX3sA7xJ,pay_R1YCm7dAtjrO7I,order_IHONdsig3AohSe,card,2026-08-04,499.0,9.98,1.8,2960179677uuezaj
setl_nBNvDMoRTeJz,pay_cmP6lcPI71dC3W,order_Pw7X8bbGEuRtCu,card,2026-08-19,499.0,9.98,1.8,3702838222minrnc
setl_F5a8w091HSAY,pay_cOlftxIUqiTVg5,order_J1rv3mxwDODJZE,upi,2026-08-12,9999.0,50.0,9.0,0839490668qzuvfq
setl_Kf4YG5Wn6GgO,pay_sSN9vZEs3W6seY,order_Urnu3hhuKnFOGC,upi,2026-08-18,799.0,4.0,0.72,5866271252azxwju
setl_T961vT58s8qt,pay_yexgw7FwVQpNOO,order_5DGUe5Mv1PXS7N,card,2026-08-04,1999.0,39.98,7.2,2102549092ucruqt
setl_WJSaVJaed4bT,pay_cOuOibbFdXbL8g,order_ErDHWTVeXJirZr,upi,2026-08-14,1799.0,9.0,1.62,7039273305obgbjq
setl_bXnYDGrNOxfJ,pay_SmIXagjvo8DnMR,order_vLPNA1XZE24Eva,upi,2026-08-10,349.0,1.75,0.32,2419689821ainbfr
setl_VRLbPqphy4p8,pay_tMRKRKltVIabv6,order_ZulFJhia0yf9SF,upi,2026-08-16,7999.0,39.99,7.2,2791372987dceatq
setl_akgw1kaxThfr,pay_I5iMPq0hZGnshK,order_M3JPAIbXguqngy,upi,2026-08-08,349.0,1.75,0.32,0823861352xdxeff
setl_CZe2y9rCXCU8,pay_1tqCVNAEs3u0kg,order_tjA8qbCMs8jyOO,upi,2026-08-16,299.0,1.5,0.27,9803346352zdhmet
setl_etDmiofkWrxi,pay_8X5J46FEholUCr,order_Urnu3hhuKnFOGC,card,2026-08-15,799.0,15.98,2.88,4043096428fjgdjg
setl_CrB7ZyrnkOnh,pay_BSE5CCMkfsfSx1,order_jNHqltFHjdSyUZ,wallet,2026-08-11,599.0,10.78,1.94,3447967252crssbz
setl_NqHDsAV23qnT,pay_7XULCkw0Ht8qth,order_4OfKXNquB2N3Lt,card,2026-08-18,899.0,17.98,3.24,9303995515muntot
setl_CCymR4YJHPzP,pay_KeIatVY2SreHB0,order_tQnpeDN86f7roS,card,2026-08-18,299.0,5.98,1.08,1340695631igsvli
setl_nBG2HiGnY3rX,pay_3TFiJR12uxPzIN,order_eJ3ZlWq9893HH3,upi,2026-08-06,1799.0,9.0,1.62,8329822290zvbizj
setl_F7RFSBdOPv3x,pay_mI8qJOHwZzI3Wf,order_umbO1ugqFH1ARv,netbanking,2026-08-11,3999.0,79.98,14.4,0670907276dwuldi
setl_45mmFd1iFR3g,pay_GAhxJ3hi0L34MM,order_fYjXM3ZCEb3vYF,wallet,2026-08-15,5999.0,107.98,19.44,1470675548kbnmhk
setl_aVxx9WsPHm62,pay_U4QSR6TVSOAFdI,order_9zXQhFMDI35Pwu,upi,2026-08-13,2999.0,15.0,2.7,8785316244qocpoi
setl_f45nVmhWfwTR,pay_NSkhlnPBm589Bb,order_oQ9FnxkI3BUBD2,card,2026-08-10,1499.0,29.98,5.4,8244560787ilpedz
setl_pzpG32uAcFpM,pay_lCmXhLELyEHbF8,order_cVeWMHhU925vTj,netbanking,2026-08-18,1199.0,23.98,4.32,3608724385iynxsa
setl_xt6ks1yHSusR,pay_jqiWCBr15eOTkN,order_8nSZZH4QSynFY5,upi,2026-08-19,3799.0,19.0,3.42,7447660471hthmxb
setl_VM2kM588IfDc,pay_WVmTAfOmSJCnaP,order_tJ1pYqsFrtQwfM,upi,2026-08-14,4999.0,25.0,4.5,3752680578ynbkxy
setl_05KB9x1OIsvV,pay_W6cbDOrTHuh5sI,order_ujB3YcTB5Uqua,upi,2026-08-05,399.0,2.0,0.36,1013315604yvarwg
setl_6dlEZedTxjI1,pay_XzwVLtBbuwf0OG,order_jzx4ef0RRY4Tyl,card,2026-08-14,1799.0,35.98,6.48,3000714655koyfwf
setl_NzE0kBGmxbIf,pay_ghnzhDMwOH4OgA,order_HByN56x28ZpJLy,card,2026-08-02,1499.0,29.98,5.4,3540115276dudgzr
setl_B4bsSvsU9XZ6,pay_htXAuL5bI9vmJd,order_uMnMDBR4hRx3GR,netbanking,2026-08-16,999.0,19.98,3.6,1291102859uujans
setl_KX783FSU8iIo,pay_ELi9M4SGsfAQk7,order_LI71fNYmphNcWI,card,2026-08-15,999.0,19.98,3.6,2948662836admcbl
setl_VN0mtk2BQLiC,pay_yOFRdNtVcZMGvJ,order_vPIznNJt6IIySq,upi,2026-08-17,1499.0,7.5,1.35,4638849855ymqhan
setl_GHZbKoXi0d9T,pay_H4QgTNBEjE4o24,order_Bfz5LJF3hBGZW3,card,2026-08-19,5999.0,119.98,21.6,1778486488wpzmng
setl_UrEO6c6tjrDz,pay_4Y8Tgnthq9R0Ae,order_PExmmWl8xEe6OM,upi,2026-08-12,599.0,3.0,0.54,7544201461gugraa
setl_woIzDfpcaAyJ,pay_fCRNlkpkJmGWvz,order_rnasNPcE7qe4SU,card,2026-08-07,3999.0,79.98,14.4,4271051298yhpwev
setl_ZPJnXV3QEzhj,pay_vpLZJZ8TlZvEuS,order_tJ1pYqsFrtQwfM,netbanking,2026-08-15,4999.0,99.98,18.0,3707308090rmfooh
setl_Yr0g2noa9f4D,pay_PvAIY122Ql9bw2,order_ytlwlqDFX0AsDl,card,2026-08-20,1299.0,25.98,4.68,2589831948ysxgsj
setl_FibEZxq1WDmx,pay_rG1UztnLd0A3eU,order_UGo86EQQvvwuME,netbanking,2026-08-17,999.0,19.98,3.6,8847918895pkvklf
setl_GurL1es7ukqq,pay_eaA355XqA9adgp,order_KrQJigYqg9BkgR,upi,2026-08-15,349.0,1.75,0.32,0411895579uuwtbm
setl_D55RRTkyqo0V,pay_AzZjHZkKbQ2NYl,order_gzFAY1Hj50uLDm,upi,2026-08-30,999.0,5.0,0.9,0824220426fqhowa
